[2026-04-01T18:47:43.096Z] GET http://localhost:4000/ → pending (?ms, ?B)
[2026-04-01T19:05:27.965Z] GET http://localhost:8080/author/name → 200 (5ms, 20B)
[2026-04-01T19:05:52.532Z] GET http://localhost:4000/albums → 200 (4ms, 670B)
[2026-04-01T19:05:52.539Z] GET http://localhost:4000/static/js/bundle.js → 304 (4ms, ?B)
[2026-04-01T19:05:52.582Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;600;700;900&family=Inter:wght@400;500;600&family=Playfair+Display:ital,wght@0,700;1,700&display=swap → 200 (2ms, 18678B)
[2026-04-01T19:05:52.587Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-01T19:05:52.589Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2 → 200 (?ms, ?B)
[2026-04-01T19:05:52.590Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_k-UXtHA-X-uE0qEEw.woff2 → 200 (?ms, ?B)
[2026-04-01T19:05:52.592Z] GET http://localhost:8080/albums → pending (?ms, ?B)
[2026-04-01T19:05:52.593Z] GET http://localhost:8080/albums → pending (?ms, ?B)
[2026-04-01T19:05:52.728Z] GET https://i.scdn.co/image/ab67616d00001e02e0b60c608586d88252b8fbc0 → 200 (2ms, 23301B)
[2026-04-01T19:05:52.729Z] GET https://i.scdn.co/image/ab67616d00001e02318443aab3531a0558e79a4d → 200 (1ms, 29521B)
[2026-04-01T19:05:52.729Z] GET https://i.scdn.co/image/ab67616d00001e02a48964b5d9a3d6968ae3e0de → 200 (2ms, 30037B)
[2026-04-01T19:05:52.729Z] GET https://i.scdn.co/image/ab67616d00001e0290fd9741e1838115cd90b3b6 → 200 (2ms, 27956B)
[2026-04-01T19:05:52.729Z] GET https://i.scdn.co/image/ab67616d00001e02c288028c2592f400dd0b9233 → 200 (2ms, 32488B)
[2026-04-01T19:05:52.729Z] GET https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647 → 200 (3ms, 21811B)
[2026-04-01T19:05:52.729Z] GET https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b → 200 (3ms, 30981B)
[2026-04-01T19:05:52.729Z] GET https://i.scdn.co/image/ab67616d00001e02332d85510aba3eb28312cfb2 → 200 (3ms, 22961B)
[2026-04-01T19:05:52.729Z] GET https://i.scdn.co/image/ab67616d00001e02a7613d346501b828b56a0bc3 → 200 (3ms, 22606B)
[2026-04-01T19:05:52.730Z] GET https://i.scdn.co/image/ab67616d00001e022e4ec3175d848eca7b76b07f → 200 (2ms, 46240B)
[2026-04-01T19:05:52.730Z] GET https://i.scdn.co/image/ab67616d00001e0234e5885465afc8a497ac1b7e → 200 (3ms, 46684B)
[2026-04-01T19:05:52.730Z] GET https://i.scdn.co/image/ab67616d00001e022f8c0fd72a80a93f8c53b96c → 200 (3ms, 49619B)
